127.0.0.1 - - [06/Jan/2020:10:21:10 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:22:41 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:53 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:13 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 718
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:15 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:19 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:19 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:19 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:20 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:20 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:20 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:20 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:21 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:21 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
